stock,jan,feb
BBSE3,178,178
CVCB3,203,203
EGIE3,165,165
ENBR3,379,379
ITSA4,1390,1390
PETR4,218,218
TAEE11,162,162
UNIP6,194,194
VIVT3,121,121
WIZC3,389,389
BRAP4,140,140
ALUP11,82,82
TUPY3,100,100
BPAC11,176,176
HSML11,24,24
RBRP11,26,26
RDOR3,156,156
ABCB4,169,169
CCRO3,198,198
MRVE3,297,297
ODPV3,108,108
VALE3,13,13
CPLE6,99,99
